model,lang_pair,en_only_acc,cm_acc,degradation_ratio,phylo_distance,wals_distance,family
GPT-3.5-Instruct,zh-en,64.9,60.99,0.060246533127889114,2,0.62,Sino-Tibetan
GPT-3.5-Instruct,hi-en,64.9,53.32,0.1784283513097073,1,0.55,Indo-Aryan
GPT-3.5-Instruct,bn-en,64.9,46.32,0.2862865947611711,1,0.57,Indo-Aryan
GPT-3.5-Instruct,mr-en,64.9,46.95,0.2765793528505393,1,0.59,Indo-Aryan
GPT-3.5-Instruct,ne-en,64.9,46.7,0.28043143297380585,1,0.56,Indo-Aryan
GPT-3.5-Instruct,es-en,64.9,65.01,-0.0016949152542372792,1,0.39,Romance
GPT-3.5-Instruct,fr-en,64.9,67.21,-0.035593220338982864,1,0.38,Romance
GPT-3.5-Instruct,ar-en,64.9,53.94,0.16887519260400627,2,0.67,Afro-Asiatic
GPT-3.5-Instruct,ta-en,64.9,44.03,0.3215716486902928,2,0.72,Dravidian
GPT-3.5-Instruct,nl-en,64.9,66.08,-0.018181818181818066,0,0.25,Germanic
GPT-3.5-Instruct,de-en,64.9,67.63,-0.04206471494607072,0,0.28,Germanic
GPT-3.5-Turbo,zh-en,66.3,60.81,0.08280542986425332,2,0.62,Sino-Tibetan
GPT-3.5-Turbo,hi-en,66.3,55.37,0.16485671191553544,1,0.55,Indo-Aryan
GPT-3.5-Turbo,bn-en,66.3,47.49,0.28371040723981894,1,0.57,Indo-Aryan
GPT-3.5-Turbo,mr-en,66.3,49.67,0.2508295625942684,1,0.59,Indo-Aryan
GPT-3.5-Turbo,ne-en,66.3,48.78,0.2642533936651583,1,0.56,Indo-Aryan
GPT-3.5-Turbo,es-en,66.3,69.2,-0.043740573152337946,1,0.39,Romance
GPT-3.5-Turbo,fr-en,66.3,68.83,-0.03815987933634994,1,0.38,Romance
GPT-3.5-Turbo,ar-en,66.3,56.45,0.14856711915535437,2,0.67,Afro-Asiatic
GPT-3.5-Turbo,ta-en,66.3,45.75,0.3099547511312217,2,0.72,Dravidian
GPT-3.5-Turbo,nl-en,66.3,67.14,-0.012669683257918604,0,0.25,Germanic
GPT-3.5-Turbo,de-en,66.3,68.46,-0.03257918552036194,0,0.28,Germanic
GPT-4-Turbo,zh-en,83.1,79.08,0.048375451263537865,2,0.62,Sino-Tibetan
GPT-4-Turbo,hi-en,83.1,77.83,0.06341756919374243,1,0.55,Indo-Aryan
GPT-4-Turbo,bn-en,83.1,72.26,0.13044524669073393,1,0.57,Indo-Aryan
GPT-4-Turbo,mr-en,83.1,72.26,0.13044524669073393,1,0.59,Indo-Aryan
GPT-4-Turbo,ne-en,83.1,72.78,0.12418772563176889,1,0.56,Indo-Aryan
GPT-4-Turbo,es-en,83.1,81.24,0.0223826714801444,1,0.39,Romance
GPT-4-Turbo,fr-en,83.1,81.21,0.02274368231046932,1,0.38,Romance
GPT-4-Turbo,ar-en,83.1,77.06,0.07268351383874841,2,0.67,Afro-Asiatic
GPT-4-Turbo,ta-en,83.1,64.09,0.22876052948255104,2,0.72,Dravidian
GPT-4-Turbo,nl-en,83.1,82.64,0.005535499398315208,0,0.25,Germanic
GPT-4-Turbo,de-en,83.1,80.71,0.028760529482551152,0,0.28,Germanic
GPT-4o,zh-en,85.6,82.97,0.03072429906542051,2,0.62,Sino-Tibetan
GPT-4o,hi-en,85.6,82.13,0.04053738317757008,1,0.55,Indo-Aryan
GPT-4o,bn-en,85.6,78.28,0.08551401869158871,1,0.57,Indo-Aryan
GPT-4o,mr-en,85.6,77.98,0.08901869158878493,1,0.59,Indo-Aryan
GPT-4o,ne-en,85.6,76.7,0.10397196261682233,1,0.56,Indo-Aryan
GPT-4o,es-en,85.6,86.3,-0.008177570093457978,1,0.39,Romance
GPT-4o,fr-en,85.6,85.28,0.003738317757009266,1,0.38,Romance
GPT-4o,ar-en,85.6,80.35,0.061331775700934586,2,0.67,Afro-Asiatic
